0	0	Are there any eritrean restaurants in town?		none	eritrean	none
0	1	How about Chinese food?	No, there are no eritrean restaurants in town. Would you like a different restaurant? 	none	chinese	none
0	2	I would like the East part of town.	There is a wide variety of Chinese restaurants, do you have an area preference or a price preference to narrow it down?	east	chinese	none
0	3	Could I get the address, phone number, and postcode of Yu Garden?	Yu Garden is a chinese restaurant in the east area.	east	chinese	none
0	4	Thank you.  That is all the information I needed.  Bye bye!	Phone is 01223 248882, address and postcode are 529 Newmarket Road Fen Ditton C.B 5, 8 P.A	east	chinese	none
1	0	Hi, I'm looking for a nice German restaurant.		none	german	none
1	1	How about European yeah? 	There are no German restaurants listed, do you have another preference?	none	european	none
1	2	I don't care.	Which area of town?	dontcare	european	none
1	3	Can I have the address, phone number, and area for the most expensive one?	There are ten restaurants that fit that description. Do you have a price preference?	dontcare	european	expensive
1	4	Thank you goodbye	Cambridge Lodge Restaurant is listed as expensive in the west area located at   Cambridge Lodge Hotel 139 Huntingdon Road City Centre. Their phone number is  01223 355166.  	dontcare	european	expensive
2	0	I am looking for a restaurant in the expensive price range that serves Australasian food. 		none	australasian	expensive
2	1	I'd like to find some Mediterranean food and need to know their address and phone number.	There are no restaurants matching your requests.  May I help you find a different type of restaurant? 	none	mediterranean	expensive
2	2	Thank you!	There is an expensive restaurant that serves mediterranean food located at Thompsons Lane Fen Ditton. Their phone number is 01223 362525.	none	mediterranean	expensive
3	0	I am looking for a moderately priced restaurant.		none	none	moderate
3	1	Turkish food.	What type of food would you like?	none	turkish	moderate
3	2	Yes, please give me the one Turkish food restaurant's phone number and address please.	I have two restaurants in the Centre area of town. Would you like the information for both?	none	turkish	moderate
3	3	thank you. 	Anatolia is located at 30 Bridge Street City Centre, phone number is 01223 362372	none	turkish	moderate
4	0	Hi I am looking for a persian restaurant in the west part of town. 		west	persian	none
4	1	No thank you.  Is there a restaurant with italian food?	I'm sorry I do not have any Persian restaurants listed on the west side.  Should I try Persian restaurants in all locations?	west	italian	none
4	2	Great! May I have the phone number please?	Prezzo is on the west side.	west	italian	none
4	3	Thanks, good night!	The phone number is  01799 521260	west	italian	none
5	0	I don't care about the price range. Just recommend me a restaurant that serves European food. I would also like to get the phone number and directions.		none	european	dontcare
